one,two,ans
子犬,協会,協会
円の,同様の,円の
民主的な,家庭内の,家庭内の
不調の,不親切な,不親切な
旗,アパート,アパート
楽しい,細い,細い
習慣,あなたさま(男性への敬称),あなたさま(男性への敬称)
薬局,自己,自己
社会主義,構造主義,社会主義
理由,福祉,福祉
敷地,探偵,敷地
～を薦める,～に反論する,～を薦める
たいていは,軽く,たいていは
比較,判断,判断
無制限の,無学な,無制限の
個々に,見かけ上は,個々に
外国からの移民,意図,外国からの移民
迷惑,当惑,当惑
聴覚,癒し,癒し
輝く,涙を誘う,輝く
墓,受取人,受取人
ストーブ,傾斜地,傾斜地
足音,学部生,学部生
家事,梱包,家事
清掃作業員,夢想家,清掃作業員
～を編む,～を紡ぐ,～を紡ぐ
異なって,同様に,異なって
象徴的な,協調的な,象徴的な
裸の,麺,麺
治療,維持,維持
深刻さ,大聖堂,深刻さ
反対の,こっけいな動作,反対の
～を引っかく,～をこする,～をこする
国籍,図解,国籍
最近の,一時的な,一時的な
業務,管理,業務
要約,しようと努める,しようと努める
単調,微分,単調
形容詞,副詞,形容詞
親密さ,涼しさ,涼しさ
ジャーナリズム,勧誘,ジャーナリズム
駐在大使,対戦相手,駐在大使
森林地帯,居住者,森林地帯
前の,思考力のある,思考力のある
横断,集会,集会
効率のよい,活動的な,効率のよい
幸運にも,時々,時々
～をうらやむ,～を驚かせる,～を驚かせる
広範囲に及ぶ,珍しい,広範囲に及ぶ
芸術の,終わりのない,芸術の
灰皿,調整,調整
貢献,絞首刑,貢献
鋭敏な,恥ずかしがり屋の,鋭敏な
ジャーナリスト,分析者,ジャーナリスト
公正,大使館,公正
完全に,さもなければ,完全に
おわび,良好な状態,良好な状態
気乗り薄,類似,類似
教育,組織、機構,組織、機構
昨夜,夜通しで,夜通しで
形式,禁止,形式
対話,電報,対話
割合,参加者,参加者
音声の,スタジオ,音声の
漏れる,同情する,同情する
小冊子,錨,小冊子
遅れた,関係のある,関係のある
社交ダンス,優先席,優先席
製造,職業,製造
海の,森の,海の
存在,満足,満足
サイクリング,リサイクル,リサイクル
逃げる,耐える,逃げる
～を握る,～を監視する,～を監視する
甲板,公爵,甲板
現実的な,はっきりした,現実的な
電子,名手,名手
悪化,装飾,装飾
明示的な,爆発の,明示的な
帝国の,おびえた,帝国の
ペニー(英国の旧貨幣単位),ニッケル,ペニー(英国の旧貨幣単位)
容量,首都,容量
感覚,効率,感覚
賢明な,喜びに満ちた,喜びに満ちた
取引関係,最愛の人,最愛の人
縫い目,裂け目,裂け目
会社経営者,サラリーマン、会社員,サラリーマン、会社員
編成,儀式,編成
巧みな,励みになる,励みになる
集合的な,不適当な,不適当な
考え方,見出し,見出し
足場,足音,足音
重要でない,健康でない,健康でない
出血する,～を祝福する,～を祝福する
農業,決心,決心
神童,子ども,子ども
愉快な,重症の,愉快な
予防,戦略,戦略
人類,人気,人気
色彩の,美容の,美容の
発電所,コンセント,発電所
～を申告する,～に耐える,～に耐える
製作者,会計士,製作者
まつげ,目薬,まつげ
～を分裂させる,壊す,～を分裂させる
～を救助する,～を捕らえる,～を救助する
甘口の,～に適する,～に適する
抗議,巡回,巡回
雪の玉,雪だるま,雪の玉
様相,慈善,様相
重荷,昼寝,昼寝
たぶん,分別をもって,分別をもって
必然的に,誇らしげに,必然的に
セロハンテープ,スコッチガード,セロハンテープ
荷造り,立方体,荷造り
絶え間ない,途絶える,途絶える
置きかえる,～を明るくする,～を明るくする
パンケーキ,パンク,パンケーキ
生産性,実用性,生産性
細胞組織,しみ,細胞組織
先生,分度器,分度器
待合室,世論調査,待合室
店員,暗黙の,暗黙の
工業地帯,電子工学,電子工学
多数の,責任,多数の
きちんと,個々に,きちんと
著作権,台座,著作権
限られた,現実的な,限られた
～を制作する,～を移す,～を移す
主流,境界,主流
図表,余白,余白
成句,語彙,成句
永遠の,無力な,永遠の
受話器,計画,計画
心理学者,物理学者,物理学者
不人気の,不利な,不人気の
スイカ,改善,改善
出生率,産婦人科,出生率
～とは違って,～よりも,～とは違って
魅力,努力,魅力
市場取引,腹痛,市場取引
巨大な,関節,関節
栄誉ある,銅の,栄誉ある
戦時,廊下,廊下
更新,仲介者,更新
～を検知する,～にうまく対処する,～を検知する
急進的な,最先端,急進的な
～を引用する,キルト,～を引用する
職場,労働者,労働者
リモコン,除去,リモコン
履歴書,証明書,証明書
外国からの移住,衝動,外国からの移住
安心,安全な,安心
性的な,成功した,性的な
比較的,それぞれの,比較的
節約,銀行業,節約
葉(複),生命,葉(複)
脅迫,糸,脅迫
耐性のある,確信のない,確信のない
ちょっと浸す,～を裂く,～を裂く
歓迎,予約,予約
愛情,完備,愛情
健全な,千,健全な
手工芸,下書き,手工芸
～を調整する,～を分離する,～を調整する
恐ろしい,成長した,恐ろしい
みじめな,～をまき散らす,～をまき散らす
ゴキブリ,非難,ゴキブリ
必要条件,集中,集中
忠実な,皇室の,忠実な
支払人,大広間,支払人
～を爆発させる,異なる,～を爆発させる
注意,条約,条約
教室,ひざまずく,ひざまずく
美容院,衝突する,衝突する
遠隔の,繊細な,繊細な
トランペット,レール,トランペット
最善の,応急の,応急の
指揮者,発明家,発明家
景気の急上昇,列車の個室,景気の急上昇
基礎,生活様式,生活様式
小別荘,できごと,小別荘
神社,予約,予約
